LineString,Time
"LINESTRING(-0.125563 51.500899, -0.125749 51.500904)",
"LINESTRING(-0.125749 51.500904, -0.12586 51.500912)",
"LINESTRING(-0.12586 51.500912, -0.126146 51.500911)",
"LINESTRING(-0.126146 51.500911, -0.126325 51.500931)",
"LINESTRING(-0.126325 51.500931, -0.126405 51.50094)",
"LINESTRING(-0.126405 51.50094, -0.127088 51.500978)",
"LINESTRING(-0.127088 51.500978, -0.127116 51.500979)",
"LINESTRING(-0.127116 51.500979, -0.127228 51.501051)",
"LINESTRING(-0.127228 51.501051, -0.127308 51.501103)",25:00
"LINESTRING(-0.127308 51.501103, -0.127376 51.501143)",
"LINESTRING(-0.127376 51.501143, -0.127449 51.501151)",
"LINESTRING(-0.127449 51.501151, -0.127485 51.501158)",
"LINESTRING(-0.127485 51.501158, -0.127512 51.501163)",
"LINESTRING(-0.127512 51.501163, -0.127865 51.501188)",
"LINESTRING(-0.127865 51.501188, -0.128319 51.501212)",
"LINESTRING(-0.128319 51.501212, -0.129447 51.501306)",
"LINESTRING(-0.129447 51.501306, -0.129492 51.501309)",
"LINESTRING(-0.129492 51.501309, -0.129589 51.501305)",
"LINESTRING(-0.129589 51.501305, -0.129619 51.501306)",
"LINESTRING(-0.129619 51.501306, -0.129696 51.50132)",
"LINESTRING(-0.129696 51.50132, -0.1298 51.50133)",
"LINESTRING(-0.1298 51.50133, -0.129847 51.501335)",
"LINESTRING(-0.129847 51.501335, -0.129908 51.501341)",
"LINESTRING(-0.129908 51.501341, -0.130045 51.50134)",
"LINESTRING(-0.130045 51.50134, -0.130106 51.501337)",
"LINESTRING(-0.130106 51.501337, -0.130163 51.501337)",
"LINESTRING(-0.130163 51.501337, -0.130301 51.501334)",
"LINESTRING(-0.130301 51.501334, -0.130723 51.50131)",
"LINESTRING(-0.130723 51.50131, -0.131731 51.501206)",
"LINESTRING(-0.131731 51.501206, -0.131781 51.5012)",
"LINESTRING(-0.131781 51.5012, -0.131928 51.501185)",
"LINESTRING(-0.131928 51.501185, -0.13328 51.501035)",26:00
"LINESTRING(-0.13328 51.501035, -0.133837 51.500986)",
"LINESTRING(-0.133837 51.500986, -0.133912 51.500977)",
"LINESTRING(-0.133912 51.500977, -0.133985 51.500969)",
"LINESTRING(-0.133985 51.500969, -0.136299 51.50073)",
"LINESTRING(-0.136299 51.50073, -0.138571 51.50049)",27:00
"LINESTRING(-0.138571 51.50049, -0.138641 51.500484)",
"LINESTRING(-0.138641 51.500484, -0.138715 51.500477)",
"LINESTRING(-0.138715 51.500477, -0.138947 51.500455)",
"LINESTRING(-0.138947 51.500455, -0.139071 51.500496)",
"LINESTRING(-0.139071 51.500496, -0.139098 51.500515)",
"LINESTRING(-0.139098 51.500515, -0.139144 51.500555)",
"LINESTRING(-0.139144 51.500555, -0.139168 51.500577)",
"LINESTRING(-0.139168 51.500577, -0.139249 51.500654)",
"LINESTRING(-0.139249 51.500654, -0.139465 51.500861)",
"LINESTRING(-0.139465 51.500861, -0.139522 51.500915)",
"LINESTRING(-0.139522 51.500915, -0.139572 51.500964)",
"LINESTRING(-0.139572 51.500964, -0.13987 51.501241)",
"LINESTRING(-0.13987 51.501241, -0.140048 51.501409)",28:00
"LINESTRING(-0.140048 51.501409, -0.140073 51.501453)",
"LINESTRING(-0.140073 51.501453, -0.140076 51.501496)",
"LINESTRING(-0.140076 51.501496, -0.140079 51.501538)",
"LINESTRING(-0.140079 51.501538, -0.140029 51.501602)",
"LINESTRING(-0.140029 51.501602, -0.13997 51.501673)",
"LINESTRING(-0.13997 51.501673, -0.139934 51.501752)",
"LINESTRING(-0.139934 51.501752, -0.13992 51.501782)",
"LINESTRING(-0.13992 51.501782, -0.139913 51.501814)",
"LINESTRING(-0.139913 51.501814, -0.139912 51.50185)",
"LINESTRING(-0.139912 51.50185, -0.139914 51.501877)",
"LINESTRING(-0.139914 51.501877, -0.139931 51.502005)",
"LINESTRING(-0.139931 51.502005, -0.14001 51.502079)",
"LINESTRING(-0.14001 51.502079, -0.140103 51.502135)",
"LINESTRING(-0.140103 51.502135, -0.140152 51.502167)",
"LINESTRING(-0.140152 51.502167, -0.140209 51.502194)",
"LINESTRING(-0.140209 51.502194, -0.140266 51.502221)",
"LINESTRING(-0.140266 51.502221, -0.140355 51.502247)",
"LINESTRING(-0.140355 51.502247, -0.140442 51.502267)",
"LINESTRING(-0.140442 51.502267, -0.140532 51.502277)",
"LINESTRING(-0.140532 51.502277, -0.140634 51.502272)",
"LINESTRING(-0.140634 51.502272, -0.14082 51.502257)",
"LINESTRING(-0.14082 51.502257, -0.141086 51.502247)",
"LINESTRING(-0.141086 51.502247, -0.141089 51.502249)",
"LINESTRING(-0.141089 51.502249, -0.141361 51.502236)",
"LINESTRING(-0.141361 51.502236, -0.14202 51.502253)",
"LINESTRING(-0.14202 51.502253, -0.141931 51.502252)",
"LINESTRING(-0.141931 51.502252, -0.141929 51.502272)",
"LINESTRING(-0.141929 51.502272, -0.142036 51.502274)",
"LINESTRING(-0.142036 51.502274, -0.142037 51.502296)",
"LINESTRING(-0.142037 51.502296, -0.142037 51.502296)",
"LINESTRING(-0.142037 51.502296, -0.142037 51.502313)",
"LINESTRING(-0.142037 51.502313, -0.14204 51.502332)",
"LINESTRING(-0.14204 51.502332, -0.142148 51.502332)",
"LINESTRING(-0.142148 51.502332, -0.142201 51.502327)",
"LINESTRING(-0.142201 51.502327, -0.142503 51.502338)",
"LINESTRING(-0.142503 51.502338, -0.146428 51.502488)",29:00
"LINESTRING(-0.146428 51.502488, -0.147989 51.502548)",30:00
"LINESTRING(-0.147989 51.502548, -0.147989 51.502548)",
"LINESTRING(-0.147989 51.502548, -0.148842 51.50258)",
"LINESTRING(-0.148842 51.50258, -0.149234 51.502594)",
"LINESTRING(-0.149234 51.502594, -0.149336 51.502595)",
"LINESTRING(-0.149336 51.502595, -0.149411 51.502597)",
"LINESTRING(-0.149411 51.502597, -0.149493 51.502614)",
"LINESTRING(-0.149493 51.502614, -0.149576 51.502634)",
"LINESTRING(-0.149576 51.502634, -0.149705 51.502643)",
"LINESTRING(-0.149705 51.502643, -0.149842 51.502647)",
"LINESTRING(-0.149842 51.502647, -0.150013 51.502653)",31:00
"LINESTRING(-0.150013 51.502653, -0.150259 51.502562)",
"LINESTRING(-0.150259 51.502562, -0.150406 51.50254)",
"LINESTRING(-0.150406 51.50254, -0.15062 51.502535)",
"LINESTRING(-0.15062 51.502535, -0.150694 51.502538)",
"LINESTRING(-0.150694 51.502538, -0.150942 51.502542)",
"LINESTRING(-0.150942 51.502542, -0.150984 51.502544)",
"LINESTRING(-0.150984 51.502544, -0.151641 51.502571)",
"LINESTRING(-0.151641 51.502571, -0.151693 51.502577)",
"LINESTRING(-0.151693 51.502577, -0.151743 51.502588)",
"LINESTRING(-0.151743 51.502588, -0.151784 51.502606)",
"LINESTRING(-0.151784 51.502606, -0.151809 51.502629)",
"LINESTRING(-0.151809 51.502629, -0.151829 51.502656)",
"LINESTRING(-0.151829 51.502656, -0.151932 51.502861)",
"LINESTRING(-0.151932 51.502861, -0.151976 51.502878)",
"LINESTRING(-0.151976 51.502878, -0.152046 51.502885)",
"LINESTRING(-0.152046 51.502885, -0.152118 51.502895)",
"LINESTRING(-0.152118 51.502895, -0.152229 51.502909)",
"LINESTRING(-0.152229 51.502909, -0.152349 51.502924)",
"LINESTRING(-0.152349 51.502924, -0.152446 51.502947)",
"LINESTRING(-0.152446 51.502947, -0.152473 51.502947)",
"LINESTRING(-0.152473 51.502947, -0.152473 51.502947)",
"LINESTRING(-0.152473 51.502947, -0.152446 51.502947)",
"LINESTRING(-0.152446 51.502947, -0.152494 51.502982)",
"LINESTRING(-0.152494 51.502982, -0.15251 51.503033)",
"LINESTRING(-0.15251 51.503033, -0.152518 51.503055)",
"LINESTRING(-0.152518 51.503055, -0.152526 51.50309)",
"LINESTRING(-0.152526 51.50309, -0.152561 51.503164)",32:00
"LINESTRING(-0.152561 51.503164, -0.152581 51.503199)",
"LINESTRING(-0.152581 51.503199, -0.152594 51.503225)",
"LINESTRING(-0.152594 51.503225, -0.152641 51.503266)",
"LINESTRING(-0.152641 51.503266, -0.152742 51.503417)",
"LINESTRING(-0.152742 51.503417, -0.152767 51.503444)",
"LINESTRING(-0.152767 51.503444, -0.152803 51.503465)",
"LINESTRING(-0.152803 51.503465, -0.152835 51.503482)",
"LINESTRING(-0.152835 51.503482, -0.152875 51.503505)",
"LINESTRING(-0.152875 51.503505, -0.152925 51.503521)",
"LINESTRING(-0.152925 51.503521, -0.153001 51.503478)",
"LINESTRING(-0.153001 51.503478, -0.153073 51.503443)",
"LINESTRING(-0.153073 51.503443, -0.153163 51.503395)",
"LINESTRING(-0.153163 51.503395, -0.153297 51.503337)",
"LINESTRING(-0.153297 51.503337, -0.153439 51.503289)",
"LINESTRING(-0.153439 51.503289, -0.153594 51.50326)",
"LINESTRING(-0.153594 51.50326, -0.153903 51.503233)",
"LINESTRING(-0.153903 51.503233, -0.154068 51.503215)",
"LINESTRING(-0.154068 51.503215, -0.154211 51.503196)",
"LINESTRING(-0.154211 51.503196, -0.15432 51.503177)",
"LINESTRING(-0.15432 51.503177, -0.154463 51.503156)",
"LINESTRING(-0.154463 51.503156, -0.154554 51.503144)",
"LINESTRING(-0.154554 51.503144, -0.155639 51.503047)",
"LINESTRING(-0.155639 51.503047, -0.155903 51.503025)",
"LINESTRING(-0.155903 51.503025, -0.155903 51.503025)",
"LINESTRING(-0.155903 51.503025, -0.15715 51.502919)",33:00
"LINESTRING(-0.15715 51.502919, -0.157902 51.502854)",
"LINESTRING(-0.157902 51.502854, -0.158405 51.50282)",
"LINESTRING(-0.158405 51.50282, -0.158446 51.502816)",
"LINESTRING(-0.158446 51.502816, -0.158525 51.502809)",
"LINESTRING(-0.158525 51.502809, -0.158613 51.5028)",
"LINESTRING(-0.158613 51.5028, -0.160107 51.50268)",
"LINESTRING(-0.160107 51.50268, -0.160643 51.502652)",
"LINESTRING(-0.160643 51.502652, -0.161328 51.502605)",
"LINESTRING(-0.161328 51.502605, -0.161825 51.502564)",
"LINESTRING(-0.161825 51.502564, -0.162272 51.502525)",34:00
"LINESTRING(-0.162272 51.502525, -0.162578 51.502501)",
"LINESTRING(-0.162578 51.502501, -0.162843 51.502483)",
"LINESTRING(-0.162843 51.502483, -0.163152 51.502463)",
"LINESTRING(-0.163152 51.502463, -0.164548 51.502363)",
"LINESTRING(-0.164548 51.502363, -0.164878 51.502341)",
"LINESTRING(-0.164878 51.502341, -0.165096 51.50233)",
"LINESTRING(-0.165096 51.50233, -0.165284 51.502321)",
"LINESTRING(-0.165284 51.502321, -0.165627 51.502302)",
"LINESTRING(-0.165627 51.502302, -0.166499 51.502283)",35:00
"LINESTRING(-0.166499 51.502283, -0.16841 51.502257)",
"LINESTRING(-0.16841 51.502257, -0.169589 51.502252)",
"LINESTRING(-0.169589 51.502252, -0.170196 51.502249)",36:00
"LINESTRING(-0.170196 51.502249, -0.17042 51.50225)",
"LINESTRING(-0.17042 51.50225, -0.171692 51.502227)",
"LINESTRING(-0.171692 51.502227, -0.173065 51.502222)",
"LINESTRING(-0.173065 51.502222, -0.173149 51.502221)",
"LINESTRING(-0.173149 51.502221, -0.173685 51.502222)",
"LINESTRING(-0.173685 51.502222, -0.173858 51.502221)",37:00
"LINESTRING(-0.173858 51.502221, -0.174196 51.502223)",
"LINESTRING(-0.174196 51.502223, -0.174344 51.502224)",
"LINESTRING(-0.174344 51.502224, -0.174421 51.502225)",
"LINESTRING(-0.174421 51.502225, -0.174446 51.502231)",
"LINESTRING(-0.174446 51.502231, -0.174481 51.502241)",
"LINESTRING(-0.174481 51.502241, -0.17451 51.502258)",
"LINESTRING(-0.17451 51.502258, -0.174537 51.502288)",
"LINESTRING(-0.174537 51.502288, -0.174544 51.502307)",
"LINESTRING(-0.174544 51.502307, -0.174544 51.502307)",
"LINESTRING(-0.174544 51.502307, -0.17456 51.502346)",
"LINESTRING(-0.17456 51.502346, -0.174562 51.502383)",
"LINESTRING(-0.174562 51.502383, -0.174582 51.502432)",
"LINESTRING(-0.174582 51.502432, -0.174574 51.502825)",
"LINESTRING(-0.174574 51.502825, -0.174574 51.502905)",
"LINESTRING(-0.174574 51.502905, -0.174574 51.50299)",
"LINESTRING(-0.174574 51.50299, -0.174558 51.503094)",
"LINESTRING(-0.174558 51.503094, -0.174505 51.503229)",
"LINESTRING(-0.174505 51.503229, -0.174453 51.503334)",
"LINESTRING(-0.174453 51.503334, -0.174269 51.50365)",
"LINESTRING(-0.174269 51.50365, -0.174104 51.503866)",
"LINESTRING(-0.174104 51.503866, -0.173787 51.504252)",38:00
"LINESTRING(-0.173787 51.504252, -0.173431 51.504732)",
"LINESTRING(-0.173431 51.504732, -0.173431 51.504732)",
"LINESTRING(-0.173431 51.504732, -0.173419 51.504748)",
"LINESTRING(-0.173419 51.504748, -0.173209 51.505049)",
"LINESTRING(-0.173209 51.505049, -0.173135 51.505171)",
"LINESTRING(-0.173135 51.505171, -0.173078 51.505302)",
"LINESTRING(-0.173078 51.505302, -0.173046 51.50542)",
"LINESTRING(-0.173046 51.50542, -0.173038 51.505496)",
"LINESTRING(-0.173038 51.505496, -0.173031 51.505527)",
"LINESTRING(-0.173031 51.505527, -0.173019 51.505614)",
"LINESTRING(-0.173019 51.505614, -0.172998 51.505674)",
"LINESTRING(-0.172998 51.505674, -0.172982 51.505725)",
"LINESTRING(-0.172982 51.505725, -0.172948 51.505775)",
"LINESTRING(-0.172948 51.505775, -0.172266 51.506628)",
"LINESTRING(-0.172266 51.506628, -0.172212 51.506686)",
"LINESTRING(-0.172212 51.506686, -0.17217 51.506721)",
"LINESTRING(-0.17217 51.506721, -0.172147 51.506729)",
"LINESTRING(-0.172147 51.506729, -0.172147 51.506729)",
"LINESTRING(-0.172147 51.506729, -0.172125 51.506736)",39:00
"LINESTRING(-0.172125 51.506736, -0.172087 51.506749)",
"LINESTRING(-0.172087 51.506749, -0.172033 51.506751)",
"LINESTRING(-0.172033 51.506751, -0.171978 51.506746)",
"LINESTRING(-0.171978 51.506746, -0.171894 51.506729)",
"LINESTRING(-0.171894 51.506729, -0.17176 51.506692)",
"LINESTRING(-0.17176 51.506692, -0.171585 51.506647)",
"LINESTRING(-0.171585 51.506647, -0.171454 51.506609)",
"LINESTRING(-0.171454 51.506609, -0.171366 51.506586)",
"LINESTRING(-0.171366 51.506586, -0.171278 51.506572)",
"LINESTRING(-0.171278 51.506572, -0.171217 51.50658)",
"LINESTRING(-0.171217 51.50658, -0.171168 51.506595)",
"LINESTRING(-0.171168 51.506595, -0.171134 51.506608)",
"LINESTRING(-0.171134 51.506608, -0.171098 51.506626)",
"LINESTRING(-0.171098 51.506626, -0.171038 51.50666)",
"LINESTRING(-0.171038 51.50666, -0.170959 51.506712)",
"LINESTRING(-0.170959 51.506712, -0.170817 51.506806)",
"LINESTRING(-0.170817 51.506806, -0.170699 51.506895)",
"LINESTRING(-0.170699 51.506895, -0.170572 51.507007)",
"LINESTRING(-0.170572 51.507007, -0.170493 51.507081)",
"LINESTRING(-0.170493 51.507081, -0.17041 51.507172)",
"LINESTRING(-0.17041 51.507172, -0.170372 51.507217)",
"LINESTRING(-0.170372 51.507217, -0.17032 51.507289)",
"LINESTRING(-0.17032 51.507289, -0.170305 51.507328)",
"LINESTRING(-0.170305 51.507328, -0.170293 51.507361)",
"LINESTRING(-0.170293 51.507361, -0.170288 51.507417)",
"LINESTRING(-0.170288 51.507417, -0.170301 51.507486)",
"LINESTRING(-0.170301 51.507486, -0.170316 51.507592)",
"LINESTRING(-0.170316 51.507592, -0.170353 51.507874)",
"LINESTRING(-0.170353 51.507874, -0.170371 51.508043)",
"LINESTRING(-0.170371 51.508043, -0.170401 51.508351)",40:00
"LINESTRING(-0.170401 51.508351, -0.170401 51.508351)",
"LINESTRING(-0.170401 51.508351, -0.170436 51.508705)",
"LINESTRING(-0.170436 51.508705, -0.170556 51.509742)",
"LINESTRING(-0.170556 51.509742, -0.170591 51.509894)",
"LINESTRING(-0.170591 51.509894, -0.170639 51.510019)",
"LINESTRING(-0.170639 51.510019, -0.170699 51.51011)",
"LINESTRING(-0.170699 51.51011, -0.170776 51.510199)",
"LINESTRING(-0.170776 51.510199, -0.170894 51.510295)",
"LINESTRING(-0.170894 51.510295, -0.171027 51.510381)",
"LINESTRING(-0.171027 51.510381, -0.171312 51.510518)",
"LINESTRING(-0.171312 51.510518, -0.171646 51.510662)",41:00
"LINESTRING(-0.171646 51.510662, -0.171837 51.51074)",
"LINESTRING(-0.171837 51.51074, -0.171837 51.51074)",
"LINESTRING(-0.171837 51.51074, -0.17205 51.510827)",
"LINESTRING(-0.17205 51.510827, -0.172286 51.510919)",
"LINESTRING(-0.172286 51.510919, -0.172488 51.510999)",
"LINESTRING(-0.172488 51.510999, -0.172584 51.511047)",
"LINESTRING(-0.172584 51.511047, -0.17263 51.511107)",
"LINESTRING(-0.17263 51.511107, -0.172633 51.511153)",
"LINESTRING(-0.172633 51.511153, -0.172616 51.511204)",
"LINESTRING(-0.172616 51.511204, -0.172579 51.511272)",
"LINESTRING(-0.172579 51.511272, -0.172533 51.511324)",
"LINESTRING(-0.172533 51.511324, -0.172451 51.511386)",
"LINESTRING(-0.172451 51.511386, -0.172378 51.511424)",
"LINESTRING(-0.172378 51.511424, -0.172286 51.511473)",
"LINESTRING(-0.172286 51.511473, -0.172332 51.511448)",
"LINESTRING(-0.172332 51.511448, -0.172226 51.511519)",
"LINESTRING(-0.172226 51.511519, -0.172211 51.511533)",
"LINESTRING(-0.172211 51.511533, -0.172127 51.51155)",
"LINESTRING(-0.172127 51.51155, -0.172125 51.51155)",41:38
